Setting,seed,init,Average Value,Discounted Value
pwconst2,0,proposed,0.03249971727764301,3.4810220808866323
pwconst2,1,proposed,0.18533638311638326,4.41107218015976
pwconst2,2,proposed,0.16014669497595913,3.878876809689979
pwconst2,3,proposed,0.16323929923694713,2.809498834231917
pwconst2,4,proposed,0.06678674155675872,3.261663662042575
pwconst2,5,proposed,0.17059790705889735,3.168397978086415
pwconst2,6,proposed,0.17576911235004633,2.1203369238370846
pwconst2,7,proposed,0.15537740861935065,2.556043879051024
pwconst2,8,proposed,0.17851439930478016,2.9118039547835877
pwconst2,9,proposed,0.16914343986534044,3.832793208405086
pwconst2,10,proposed,0.23517255522593933,3.5584977866111887
pwconst2,11,proposed,0.30614629670540594,3.777729943927609
pwconst2,12,proposed,0.0921432118295203,3.567601112968816
pwconst2,13,proposed,0.1116949788181951,3.00772290774234
pwconst2,14,proposed,0.10282122770143833,3.575786050680415
pwconst2,15,proposed,0.1774415714424967,3.048048660025571
pwconst2,16,proposed,0.11677025233548378,3.599622729308382
pwconst2,17,proposed,0.13321126976063258,3.488965628296238
pwconst2,18,proposed,0.2396148254148622,3.9583582751852333
pwconst2,19,proposed,0.27501528930054286,3.4774010642339626
pwconst2,0,oracle,0.1677215199904738,4.2996752109996805
pwconst2,1,oracle,0.20217120128984134,4.397188448138087
pwconst2,2,oracle,0.18691022221317904,4.108151107484156
pwconst2,3,oracle,0.15790219175361164,3.0356345926501533
pwconst2,4,oracle,0.13859203447171306,4.214119477307701
pwconst2,5,oracle,0.13888546073872124,4.383077453857282
pwconst2,6,oracle,0.20442940713438323,3.3458534655552823
pwconst2,7,oracle,0.19436973451223327,4.494001070186267
pwconst2,8,oracle,0.24702970607641325,3.809888749805422
pwconst2,9,oracle,0.16809886266471333,4.363200165422491
pwconst2,10,oracle,0.23432708956389872,4.065838790520084
pwconst2,11,oracle,0.21237366887925446,3.473391596380352
pwconst2,12,oracle,0.16809613397260303,3.6550233310356686
pwconst2,13,oracle,0.17414235387948424,3.578315706273009
pwconst2,14,oracle,0.10950917560264868,3.6629067409276614
pwconst2,15,oracle,0.1571808613165479,2.0415976629299335
pwconst2,16,oracle,0.10456481725883902,3.9739301165903744
pwconst2,17,oracle,0.15067873160922857,4.538360525099982
pwconst2,18,oracle,0.13875604179676837,4.670339264201408
pwconst2,19,oracle,0.22672493773178004,4.400675004145223
pwconst2,0,only_cp,-0.011841663013594642,-0.07565916946574155
pwconst2,1,only_cp,0.035869142275210764,0.1970212025759439
pwconst2,2,only_cp,0.03770898854098102,-0.0045003476194797895
pwconst2,3,only_cp,0.045226371447017626,0.09464036060072942
pwconst2,4,only_cp,0.031879356249811704,0.5556583605858241
pwconst2,5,only_cp,0.001086599432648615,0.6801044276371663
pwconst2,6,only_cp,0.1528125030821157,0.04431345460773245
pwconst2,7,only_cp,0.09445177837667745,0.4054204831029827
pwconst2,8,only_cp,0.026521588801935093,-0.1432021905866108
pwconst2,9,only_cp,0.0637424741075206,0.6871262072567151
pwconst2,10,only_cp,0.04429835569590626,-0.3979999198160864
pwconst2,11,only_cp,0.10970467362385648,0.7362624741538183
pwconst2,12,only_cp,0.01294623623027336,-0.05049156442383325
pwconst2,13,only_cp,0.06453826505048312,0.32697211529881653
pwconst2,14,only_cp,0.02952636175079756,0.3783788823513102
pwconst2,15,only_cp,0.0429096095681968,-0.33290270412970757
pwconst2,16,only_cp,-0.0238002184659814,-0.3106099258746125
pwconst2,17,only_cp,0.03987509555776354,0.22364658138297774
pwconst2,18,only_cp,0.0955508955021967,0.47236187666440493
pwconst2,19,only_cp,0.08200637077706162,0.5157811890234327
pwconst2,0,only_clusters,0.025602065967339407,0.26604182342880206
pwconst2,1,only_clusters,-0.013309758579171202,0.3630532178342188
pwconst2,2,only_clusters,0.03348497896411772,0.8212181551599983
pwconst2,3,only_clusters,0.0801792913972103,-0.13893268211482898
pwconst2,4,only_clusters,0.05862951280544874,0.6667519423202225
pwconst2,5,only_clusters,-0.02408069712190049,0.3523182642725567
pwconst2,6,only_clusters,0.12796692832393272,-0.4385155593063197
pwconst2,7,only_clusters,-0.07082806508794184,0.1181784983826726
pwconst2,8,only_clusters,-0.009149125596550255,-0.17646103325966656
pwconst2,9,only_clusters,-0.026089141572760544,0.025470939081046536
pwconst2,10,only_clusters,0.07705412536512439,0.6652149459512726
pwconst2,11,only_clusters,0.16971271336748886,0.7472494738290822
pwconst2,12,only_clusters,0.06745118236520688,-0.37155873795773686
pwconst2,13,only_clusters,0.004991020696508861,0.20012489144652862
pwconst2,14,only_clusters,0.06131743352131962,0.13405614594349996
pwconst2,15,only_clusters,0.032168401247784854,-0.07067264019007831
pwconst2,16,only_clusters,-0.029066794102507922,0.32756706801301133
pwconst2,17,only_clusters,-0.03260299091930942,-0.1442415526059494
pwconst2,18,only_clusters,0.10323472695915949,0.5706652159877167
pwconst2,19,only_clusters,-0.035512509930080156,0.25674244189367984
pwconst2,0,overall,0.025602065967339407,0.26604182342880206
pwconst2,1,overall,-0.013309758579171202,0.3630532178342188
pwconst2,2,overall,0.04188846625891285,0.8213783011267811
pwconst2,3,overall,0.0801792913972103,-0.13893268211482898
pwconst2,4,overall,0.05862951280544874,0.6667519423202225
pwconst2,5,overall,-0.02408069712190049,0.3523182642725567
pwconst2,6,overall,0.12796692832393272,-0.4385155593063197
pwconst2,7,overall,-0.07082806508794184,0.1181784983826726
pwconst2,8,overall,-0.009149125596550255,-0.17646103325966656
pwconst2,9,overall,-0.026089141572760544,0.025470939081046536
pwconst2,10,overall,0.07705412536512439,0.6652149459512726
pwconst2,11,overall,0.07849061882132026,0.7464805903666298
pwconst2,12,overall,0.06745118236520688,-0.37155873795773686
pwconst2,13,overall,0.004991020696508861,0.20012489144652862
pwconst2,14,overall,0.06131743352131962,0.13405614594349996
pwconst2,15,overall,0.032168401247784854,-0.07067264019007831
pwconst2,16,overall,-0.029066794102507922,0.32756706801301133
pwconst2,17,overall,-0.03260299091930942,-0.1442415526059494
pwconst2,18,overall,0.10323472695915949,0.5706652159877167
pwconst2,19,overall,-0.035512509930080156,0.25674244189367984
smooth,0,proposed,0.04949997552596839,3.780422265556277
smooth,1,proposed,0.2033717066180394,4.1211077040627
smooth,2,proposed,0.19411746303979902,3.7864710025545
smooth,3,proposed,0.15320898005781977,2.784461675212536
smooth,4,proposed,0.06970785251147017,3.762527858411742
smooth,5,proposed,0.15500192017703013,2.6684855660351405
smooth,6,proposed,0.18159255919605433,2.1127041173821683
smooth,7,proposed,0.18226859153434455,1.511600175205823
smooth,8,proposed,0.1721700330062914,2.517373089524587
smooth,9,proposed,0.19652578016651337,3.4300860086386176
