Size of Change,Seed,Method,Cluster,Value
strong,23,Stationary + Homogeneity,1,190.8477602323876
strong,23,Stationary + Homogeneity,2,359.45365017240545
strong,24,Stationary + Homogeneity,0,185.94322444164732
strong,24,Stationary + Homogeneity,1,206.53087369689217
strong,24,Stationary + Homogeneity,2,360.21016726321716
strong,25,Stationary + Homogeneity,0,174.735653660386
strong,25,Stationary + Homogeneity,1,180.76000090669027
strong,25,Stationary + Homogeneity,2,360.2109781326799
strong,26,Stationary + Homogeneity,0,183.18616835231998
strong,26,Stationary + Homogeneity,1,192.90341953288254
strong,26,Stationary + Homogeneity,2,359.7852873452604
strong,27,Stationary + Homogeneity,0,184.10146473958397
strong,27,Stationary + Homogeneity,1,200.99299774589278
strong,27,Stationary + Homogeneity,2,359.49486387820565
strong,28,Stationary + Homogeneity,0,184.4357553063661
strong,28,Stationary + Homogeneity,1,233.2632133543093
strong,28,Stationary + Homogeneity,2,358.80751650983257
strong,29,Stationary + Homogeneity,0,180.02105154731
strong,29,Stationary + Homogeneity,1,187.7573207808555
strong,29,Stationary + Homogeneity,2,360.0089952425392
strong,30,Stationary + Homogeneity,0,175.46169402899548
strong,30,Stationary + Homogeneity,1,180.43236328108986
strong,30,Stationary + Homogeneity,2,359.67524156431944
strong,3,Random,0,317.4750933351041
strong,3,Random,1,217.3088521696514
strong,3,Random,2,360.3754358136428
strong,4,Random,0,294.852972944763
strong,4,Random,1,261.4307110013743
strong,4,Random,2,198.95427715304714
strong,9,Random,0,317.6507132826113
strong,9,Random,1,223.99890830239855
strong,9,Random,2,199.5300066005101
strong,14,Random,0,308.61133683541516
strong,14,Random,1,200.975885608306
strong,14,Random,2,196.4533659245843
strong,16,Random,0,147.8946266329727
strong,16,Random,1,241.8155025454373
strong,16,Random,2,359.63289413092883
strong,18,Random,0,317.0907752522731
strong,18,Random,1,199.59398247413898
strong,18,Random,2,181.1972473630966
strong,23,Random,0,318.12566778535324
strong,23,Random,1,354.6012544277508
strong,23,Random,2,359.2727264426323
strong,24,Random,0,176.73041122056915
strong,24,Random,1,241.2224439861394
strong,24,Random,2,360.06260484602683
strong,25,Random,0,289.4195011177563
strong,25,Random,1,326.68023907982126
strong,25,Random,2,359.01697898158164
strong,26,Random,0,286.78845745119213
strong,26,Random,1,307.614002076713
strong,26,Random,2,359.75974383193096
strong,29,Random,0,183.27591872398168
strong,29,Random,1,241.21870616957233
strong,29,Random,2,359.5265732649283
moderate,2,Proposed,0,203.17125087266132
moderate,2,Proposed,1,187.1253165298588
moderate,2,Proposed,2,211.71605360149607
moderate,10,Proposed,0,203.80691658686018
moderate,10,Proposed,1,183.86596860219234
moderate,10,Proposed,2,211.11821686879696
moderate,13,Proposed,0,203.40337013953518
moderate,13,Proposed,1,180.68602034637803
moderate,13,Proposed,2,211.46264914793156
moderate,29,Proposed,0,204.25970969284532
moderate,29,Proposed,1,196.53989036313803
moderate,29,Proposed,2,189.12287449305478
moderate,1,Oracle,0,203.27759957120188
moderate,1,Oracle,1,191.52789750359483
moderate,1,Oracle,2,188.69637025731174
moderate,2,Oracle,0,203.17125087266132
moderate,2,Oracle,1,188.39607012978718
moderate,2,Oracle,2,211.45419027312025
moderate,3,Oracle,0,202.850961341734
moderate,3,Oracle,1,188.2500604671984
moderate,3,Oracle,2,210.64915146540318
moderate,4,Oracle,0,204.7389863158609
moderate,4,Oracle,1,191.11684460217228
moderate,4,Oracle,2,210.93941609885314
moderate,5,Oracle,0,204.00873963619478
moderate,5,Oracle,1,190.6989605590298
moderate,5,Oracle,2,189.38131892993977
moderate,6,Oracle,0,203.83973365215323
moderate,6,Oracle,1,189.11218648259612
moderate,6,Oracle,2,191.7216609015526
moderate,7,Oracle,0,203.59790583129015
moderate,7,Oracle,1,190.3239993342318
moderate,7,Oracle,2,192.5683531529997
moderate,8,Oracle,0,204.1038030578319
moderate,8,Oracle,1,190.73305731387939
moderate,8,Oracle,2,211.80003825167398
moderate,9,Oracle,0,204.17058361053313
moderate,9,Oracle,1,189.4300108977074
moderate,9,Oracle,2,188.7689409617364
moderate,10,Oracle,0,203.80691658686018
moderate,10,Oracle,1,194.66918505078758
moderate,10,Oracle,2,210.68743451212598
moderate,11,Oracle,0,203.59140289719545
moderate,11,Oracle,1,189.80580669038048
moderate,11,Oracle,2,190.53331226053325
moderate,12,Oracle,0,203.2285703309478
moderate,12,Oracle,1,197.77046510368663
moderate,12,Oracle,2,191.60556631726683
moderate,13,Oracle,0,203.40337013953518
moderate,13,Oracle,1,188.50942327986056
moderate,13,Oracle,2,211.08078120068276
moderate,14,Oracle,0,204.31016239707304
moderate,14,Oracle,1,191.86836039917344
moderate,14,Oracle,2,212.0201004288165
moderate,15,Oracle,0,203.72482845856007
moderate,15,Oracle,1,191.23135841474345
moderate,15,Oracle,2,211.5856790111529
moderate,16,Oracle,0,203.45333198021706
moderate,16,Oracle,1,190.02763590238254
moderate,16,Oracle,2,190.67389640057618
moderate,17,Oracle,0,203.94186072627107
moderate,17,Oracle,1,190.37922494278905
moderate,17,Oracle,2,211.24921255580324
moderate,18,Oracle,0,204.44212454076435
moderate,18,Oracle,1,190.1319539992862
moderate,18,Oracle,2,192.3498108535415
moderate,19,Oracle,0,203.8228153942431
moderate,19,Oracle,1,190.4654753078936
moderate,19,Oracle,2,192.7415457204578
moderate,20,Oracle,0,204.42974583109964
moderate,20,Oracle,1,213.24337254151564
moderate,20,Oracle,2,211.86756695165863
moderate,21,Oracle,0,203.70735131321445
moderate,21,Oracle,1,192.574492290266
moderate,21,Oracle,2,190.66282260045102
moderate,22,Oracle,0,203.74163032122217
moderate,22,Oracle,1,191.77205180272452
moderate,22,Oracle,2,193.95897789717503
moderate,23,Oracle,0,203.79804569774143
moderate,23,Oracle,1,190.65752808043814
moderate,23,Oracle,2,188.97913512203417
moderate,24,Oracle,0,204.01044349538716
moderate,24,Oracle,1,187.96109047053972
moderate,24,Oracle,2,189.27027042744876
moderate,25,Oracle,0,203.4630335245188
moderate,25,Oracle,1,190.57628274739665
moderate,25,Oracle,2,211.80772891688014
moderate,26,Oracle,0,204.11120799535558
moderate,26,Oracle,1,213.98936225497434
moderate,26,Oracle,2,192.69330733801218
moderate,27,Oracle,0,203.69714519663015
moderate,27,Oracle,1,188.2855475439237
moderate,27,Oracle,2,190.4412643672248
moderate,28,Oracle,0,203.13089559689888
moderate,28,Oracle,1,189.74244032620743
moderate,28,Oracle,2,189.83398069930158
moderate,29,Oracle,0,204.25970969284532
moderate,29,Oracle,1,189.92986688693068
moderate,29,Oracle,2,192.42954210955293
moderate,30,Oracle,0,204.10693848443603
moderate,30,Oracle,1,190.54378929412454
moderate,30,Oracle,2,193.12916974920824
moderate,1,Stationary + Homogeneity,0,174.84174107463932
moderate,1,Stationary + Homogeneity,1,179.4113284262737
moderate,1,Stationary + Homogeneity,2,188.4591237531122
moderate,2,Stationary + Homogeneity,0,173.71739510369494
moderate,2,Stationary + Homogeneity,1,187.94563723738193
moderate,2,Stationary + Homogeneity,2,211.20000344421692
moderate,3,Stationary + Homogeneity,0,174.23267476642096
moderate,3,Stationary + Homogeneity,1,181.61792385678257
moderate,3,Stationary + Homogeneity,2,211.4318135184362
moderate,4,Stationary + Homogeneity,0,175.79525620402222
moderate,4,Stationary + Homogeneity,1,187.45932822588003
moderate,4,Stationary + Homogeneity,2,211.75482576704118
moderate,5,Stationary + Homogeneity,0,175.972578467983
moderate,5,Stationary + Homogeneity,1,187.3538472276448
moderate,5,Stationary + Homogeneity,2,189.98715447535983
moderate,6,Stationary + Homogeneity,0,175.0588305494031
moderate,6,Stationary + Homogeneity,1,185.77196079074835
moderate,6,Stationary + Homogeneity,2,191.61576632241943
moderate,7,Stationary + Homogeneity,0,175.62785294955432
moderate,7,Stationary + Homogeneity,1,182.66788522781587
moderate,7,Stationary + Homogeneity,2,192.02742602973183
moderate,8,Stationary + Homogeneity,0,175.23980860549796
moderate,8,Stationary + Homogeneity,1,184.5850722883062
moderate,8,Stationary + Homogeneity,2,211.90395398355525
moderate,9,Stationary + Homogeneity,0,175.49159246552452
moderate,9,Stationary + Homogeneity,1,184.47952792281242
moderate,9,Stationary + Homogeneity,2,188.98845909835106
moderate,10,Stationary + Homogeneity,0,174.58070903536915
moderate,10,Stationary + Homogeneity,1,186.99095769205866
moderate,10,Stationary + Homogeneity,2,211.95355244454964
moderate,11,Stationary + Homogeneity,0,175.1407538159257
moderate,11,Stationary + Homogeneity,1,184.79204733637482
moderate,11,Stationary + Homogeneity,2,193.75083516741458
moderate,12,Stationary + Homogeneity,0,174.20159429997176
moderate,12,Stationary + Homogeneity,1,186.2056248139024
moderate,12,Stationary + Homogeneity,2,190.51395509810678
moderate,13,Stationary + Homogeneity,0,173.68116528295172
moderate,13,Stationary + Homogeneity,1,181.73336165262535
moderate,13,Stationary + Homogeneity,2,212.54644769184466
moderate,14,Stationary + Homogeneity,0,173.5602655883178
moderate,14,Stationary + Homogeneity,1,180.8923943739559
moderate,14,Stationary + Homogeneity,2,211.86857939536068
moderate,15,Stationary + Homogeneity,0,174.29690639392823
moderate,15,Stationary + Homogeneity,1,185.6313197615611
moderate,15,Stationary + Homogeneity,2,211.56071453508545
moderate,16,Stationary + Homogeneity,0,175.6331616816637
moderate,16,Stationary + Homogeneity,1,182.43366387663212
moderate,16,Stationary + Homogeneity,2,190.51177005280857
moderate,17,Stationary + Homogeneity,0,174.58837373492955
moderate,17,Stationary + Homogeneity,1,179.13036485386482
moderate,17,Stationary + Homogeneity,2,210.65172391013976
moderate,18,Stationary + Homogeneity,0,176.08543355700283
moderate,18,Stationary + Homogeneity,1,184.5699169193997
moderate,18,Stationary + Homogeneity,2,193.77825239434662
moderate,19,Stationary + Homogeneity,0,174.47500931249112
moderate,19,Stationary + Homogeneity,1,182.25738704919385
moderate,19,Stationary + Homogeneity,2,193.14321837735613
moderate,20,Stationary + Homogeneity,0,175.66484801067628
moderate,20,Stationary + Homogeneity,1,187.33087988460565
moderate,20,Stationary + Homogeneity,2,211.6680433131401
moderate,21,Stationary + Homogeneity,0,177.5639563444999
moderate,21,Stationary + Homogeneity,1,182.17260642444862
moderate,21,Stationary + Homogeneity,2,190.60432799669326
moderate,22,Stationary + Homogeneity,0,175.88589333273873
moderate,22,Stationary + Homogeneity,1,184.90698109662702
moderate,22,Stationary + Homogeneity,2,193.10962128290694
moderate,23,Stationary + Homogeneity,0,175.48729511821912
moderate,23,Stationary + Homogeneity,1,183.09145010292445
moderate,23,Stationary + Homogeneity,2,187.0476203154403
moderate,24,Stationary + Homogeneity,0,173.64998840526434
moderate,24,Stationary + Homogeneity,1,185.0216094253015
moderate,24,Stationary + Homogeneity,2,191.0365567719769
moderate,25,Stationary + Homogeneity,0,174.67372602835994
moderate,25,Stationary + Homogeneity,1,181.5427948547327
moderate,25,Stationary + Homogeneity,2,211.99225792139703
moderate,26,Stationary + Homogeneity,0,174.6710014378525
moderate,26,Stationary + Homogeneity,1,182.58984340004395
moderate,26,Stationary + Homogeneity,2,192.58195160847913
moderate,27,Stationary + Homogeneity,0,175.29249409266814
moderate,27,Stationary + Homogeneity,1,184.20117788711386
moderate,27,Stationary + Homogeneity,2,190.27698734258706
moderate,28,Stationary + Homogeneity,0,175.26510748251312
moderate,28,Stationary + Homogeneity,1,185.2636711975631
moderate,28,Stationary + Homogeneity,2,189.20499361661703
moderate,29,Stationary + Homogeneity,0,174.78528459642285
moderate,29,Stationary + Homogeneity,1,184.96299921482128
moderate,29,Stationary + Homogeneity,2,189.6150190202671
moderate,30,Stationary + Homogeneity,0,176.31875049348963
moderate,30,Stationary + Homogeneity,1,182.92531799009166
moderate,30,Stationary + Homogeneity,2,192.648085080643
moderate,3,Random,0,202.23870736859746
moderate,3,Random,1,192.46525318205212
moderate,3,Random,2,212.09927225906551
moderate,4,Random,0,203.25491091258328
moderate,4,Random,1,192.51368571907523
moderate,4,Random,2,181.08271740203134
moderate,9,Random,0,203.307067773831
moderate,9,Random,1,196.18996375220595
moderate,9,Random,2,187.97787824344053
moderate,14,Random,0,204.17523262229304
moderate,14,Random,1,197.00159842526952
moderate,14,Random,2,181.8697366043408
moderate,16,Random,0,201.82478566525018
moderate,16,Random,1,196.7519329822687
moderate,16,Random,2,192.11553455064902
moderate,18,Random,0,204.2496212742562
moderate,18,Random,1,194.78413662821916
moderate,18,Random,2,179.4909929183243
moderate,23,Random,0,204.12666139020908
moderate,23,Random,1,197.72157084327262
moderate,23,Random,2,188.4785253989565
moderate,24,Random,0,201.5294437990796
moderate,24,Random,1,189.83345696620924
moderate,24,Random,2,211.89570986780984
moderate,25,Random,0,202.688383897939
moderate,25,Random,1,197.18550404427432
moderate,25,Random,2,211.21531015256554
moderate,26,Random,0,201.5171429913745
moderate,26,Random,1,196.3664136173806
moderate,26,Random,2,211.6986350298427
moderate,29,Random,0,174.01512525546838
moderate,29,Random,1,190.03135531510546
moderate,29,Random,2,189.50596669634535
weak,1,Proposed,0,174.66723921233438
weak,1,Proposed,1,177.11056492515615
weak,1,Proposed,2,179.6836277729331
weak,3,Proposed,0,174.06148189521826
weak,3,Proposed,1,176.49894186883856
weak,3,Proposed,2,185.35940134005637
weak,4,Proposed,0,173.5168843529643
weak,4,Proposed,1,176.55375140413764
weak,4,Proposed,2,179.42434577209232
weak,5,Proposed,0,174.55740918671526
weak,5,Proposed,1,178.69777525207112
weak,5,Proposed,2,186.68568470783757
weak,6,Proposed,0,174.76991998909506
weak,6,Proposed,1,176.84486320519102
weak,6,Proposed,2,181.00825284570644
weak,7,Proposed,0,175.07798895916937
weak,7,Proposed,1,176.6596160554818
weak,7,Proposed,2,180.0134590899184
weak,8,Proposed,0,174.8487979677607
weak,8,Proposed,1,177.7628514527864
weak,8,Proposed,2,180.8653320325372
weak,9,Proposed,0,174.93930593795082
weak,9,Proposed,1,177.46146364273918
weak,9,Proposed,2,179.97201298809097
weak,10,Proposed,0,173.84825799468635
weak,10,Proposed,1,176.9172975678946
weak,10,Proposed,2,181.3558874408513
weak,11,Proposed,0,175.4898974270674
weak,11,Proposed,1,177.30985223633922
weak,11,Proposed,2,179.49353832298783
weak,12,Proposed,0,174.27501789154326
weak,12,Proposed,1,178.20816788855677
weak,12,Proposed,2,180.4412878249458
weak,13,Proposed,0,174.9245741385079
weak,13,Proposed,1,177.9554968664929
weak,13,Proposed,2,180.03925074936996
weak,14,Proposed,0,174.9003188503717
weak,14,Proposed,1,178.22893816844936
weak,14,Proposed,2,179.06212351935002
weak,15,Proposed,0,174.74670556127487
weak,15,Proposed,1,175.8884038622067
weak,15,Proposed,2,181.2537911405643
weak,16,Proposed,0,175.53094187128562
weak,16,Proposed,1,177.3415408416097
weak,16,Proposed,2,179.95691695387896
weak,17,Proposed,0,174.9110392852746
weak,17,Proposed,1,176.74719987396796
weak,17,Proposed,2,179.8437139779728
weak,18,Proposed,0,175.082926981369
weak,18,Proposed,1,176.84367767286594
weak,18,Proposed,2,180.41943875082882
weak,19,Proposed,0,174.5478211168872
weak,19,Proposed,1,176.54961741618587
weak,19,Proposed,2,182.39308625734432
weak,20,Proposed,0,174.93677038380315
weak,20,Proposed,1,177.72466496522873
weak,20,Proposed,2,179.74080735884343
weak,21,Proposed,0,174.78751779910132
weak,21,Proposed,1,177.15617330105587
weak,21,Proposed,2,181.40523513659784
weak,22,Proposed,0,174.78056850664063
weak,22,Proposed,1,175.77618688455834
weak,22,Proposed,2,180.45876614445334
weak,23,Proposed,0,174.72171435826922
weak,23,Proposed,1,177.30685650262333
weak,23,Proposed,2,180.1615385513792
weak,24,Proposed,0,174.4023860237785
weak,24,Proposed,1,176.16666384435462
weak,24,Proposed,2,180.8877013049088
weak,25,Proposed,0,173.65535177864976
weak,25,Proposed,1,176.5278454109323
weak,25,Proposed,2,180.77820970713464
weak,26,Proposed,0,175.27972466457513
weak,26,Proposed,1,176.83892858863948
weak,26,Proposed,2,180.04647059744227
weak,27,Proposed,0,174.93585790813395
weak,27,Proposed,1,176.35256801923737
weak,27,Proposed,2,179.43618580740383
weak,28,Proposed,0,175.20282890886818
weak,28,Proposed,1,177.45012780795602
weak,28,Proposed,2,180.04320029964998
weak,29,Proposed,0,175.4629136765256
weak,29,Proposed,1,175.39803038067396
weak,29,Proposed,2,179.40599041725173
weak,30,Proposed,0,175.08814229580744
weak,30,Proposed,1,176.65348326490206
weak,30,Proposed,2,181.16068413491405
weak,1,Oracle,0,180.11515940634604
weak,1,Oracle,1,180.39067657834107
weak,1,Oracle,2,180.18263219535274
weak,2,Oracle,0,177.39318500007514
weak,2,Oracle,1,179.69708818977406
weak,2,Oracle,2,180.9736418571236
weak,3,Oracle,0,180.5057672553108
weak,3,Oracle,1,178.62679645176715
weak,3,Oracle,2,184.41688582407608
weak,4,Oracle,0,182.4865502345124
weak,4,Oracle,1,179.48791450208878
weak,4,Oracle,2,180.25461535483956
weak,5,Oracle,0,179.9285980145073
weak,5,Oracle,1,179.40720556540435
weak,5,Oracle,2,185.87398218421757
weak,6,Oracle,0,177.3261299008814
weak,6,Oracle,1,179.53950788976726
weak,6,Oracle,2,186.106734248931
weak,7,Oracle,0,184.10413591612868
weak,7,Oracle,1,181.0460145417972
weak,7,Oracle,2,180.7034363359834
weak,8,Oracle,0,183.0945830783298
weak,8,Oracle,1,180.78975150928693
weak,8,Oracle,2,180.76763818429325
weak,9,Oracle,0,182.0746411379498
weak,9,Oracle,1,180.94108610952142
weak,9,Oracle,2,180.0272064162721
weak,10,Oracle,0,184.29456521486577
weak,10,Oracle,1,182.72271330128976
weak,10,Oracle,2,180.40695516968572
weak,11,Oracle,0,178.21785115412604
weak,11,Oracle,1,178.79745602427911
weak,11,Oracle,2,180.12598959411042
weak,12,Oracle,0,183.7676350497306
weak,12,Oracle,1,180.12666645787766
weak,12,Oracle,2,180.249272212446
