Setting,seed,init,Average Value,Discounted Value
pwconst2,0,proposed,0.5231998804991685,6.725775655672549
pwconst2,1,proposed,0.5944064972547654,6.18811795471052
pwconst2,2,proposed,0.44413135342496396,6.203969976460318
pwconst2,3,proposed,0.41978532574911676,7.490351993084347
pwconst2,4,proposed,0.5118615417200308,6.301219417170403
pwconst2,5,proposed,0.6183497277574861,4.8353637768971325
pwconst2,6,proposed,0.3792738215025252,7.278106869025859
pwconst2,7,proposed,0.7390157443665484,5.815815585078459
pwconst2,8,proposed,0.6195750423546499,5.737964790566332
pwconst2,9,proposed,0.5397536629550834,6.222779717986235
pwconst2,10,proposed,0.4571559963997226,6.282254050430323
pwconst2,11,proposed,0.4131524516054089,5.840760242402779
pwconst2,12,proposed,0.42951828323152386,4.927711621177147
pwconst2,13,proposed,0.49684434341423045,7.280248701426663
pwconst2,14,proposed,0.4765940823040631,6.90182457893342
pwconst2,15,proposed,0.38682273724616584,4.756478420849072
pwconst2,16,proposed,0.5327175655644932,6.292535363958633
pwconst2,17,proposed,0.6733352420383001,6.080882152123304
pwconst2,18,proposed,0.359253249114433,6.012577414386767
pwconst2,19,proposed,0.9250239963004528,6.3272788698693265
pwconst2,0,only_clusters,0.7149930359989684,5.959246229291569
pwconst2,1,only_clusters,0.7039010117283198,7.1463842466303165
pwconst2,2,only_clusters,0.6536598714214547,7.024050421700391
pwconst2,3,only_clusters,0.5657397892846228,5.367950297042994
pwconst2,4,only_clusters,0.5998449821970044,5.6683815500955985
pwconst2,5,only_clusters,0.7565687662916991,4.993092783952001
pwconst2,6,only_clusters,0.42089436919267736,7.264328147635225
pwconst2,7,only_clusters,0.9263694972643923,6.404067356720954
pwconst2,8,only_clusters,0.7791908981060899,6.958722849918469
pwconst2,9,only_clusters,0.842344505909571,5.963354134558142
pwconst2,10,only_clusters,0.5422768144669449,6.002865277881437
pwconst2,11,only_clusters,0.48345692481435204,4.56933400102526
pwconst2,12,only_clusters,0.5889984554670055,7.042564468993014
pwconst2,13,only_clusters,0.6375524347871554,5.824107669015093
pwconst2,14,only_clusters,0.6188741236922511,5.0040813196259935
pwconst2,15,only_clusters,0.6165348892027432,6.163564660578655
pwconst2,16,only_clusters,0.764146779054959,7.222723502294172
pwconst2,17,only_clusters,0.8618913863119102,4.908162243457764
pwconst2,18,only_clusters,0.4740327976526397,5.262438345004633
pwconst2,19,only_clusters,0.9502355897947268,4.045814568379357
smooth,0,proposed,0.54807012041272,6.2437254823118655
smooth,1,proposed,0.4314954601285026,6.345844292463839
smooth,2,proposed,0.47800025045801425,6.102678906298391
smooth,3,proposed,0.4236678006077248,5.8528541876920155
smooth,4,proposed,0.4595537754961931,5.1233246022630885
smooth,5,proposed,0.5526993229520868,6.413145329935642
smooth,6,proposed,0.31523948464525814,7.073178969382355
smooth,7,proposed,0.7592295588303499,5.464341825245038
smooth,8,proposed,0.54777789412431,5.659782749477155
smooth,9,proposed,0.658427733140336,6.3974125510385464
smooth,10,proposed,0.4002203270019821,5.10055471273125
smooth,11,proposed,0.40520689098947266,7.4455706053467825
smooth,12,proposed,0.40779764758443143,7.531627074107559
smooth,13,proposed,0.5636231489848359,6.882892634767868
smooth,14,proposed,0.5169854573994537,6.976317980966647
smooth,15,proposed,0.4866069484105727,3.9749534405495335
smooth,16,proposed,0.4784994407046194,6.084702114531853
smooth,17,proposed,0.6905158407621099,5.580268887856352
smooth,18,proposed,0.37951058500797336,5.703753115591769
smooth,19,proposed,0.7953412564215858,6.558544652389211
smooth,0,only_clusters,0.7042828410903059,6.002045562154875
smooth,1,only_clusters,0.6957492778916673,7.125656855769331
smooth,2,only_clusters,0.7585034763528177,7.01696236055187
smooth,3,only_clusters,0.5315116662662356,5.278673093152056
smooth,4,only_clusters,0.5950040440262437,6.620032132961333
smooth,5,only_clusters,0.7550424259093291,5.16052209990893
smooth,6,only_clusters,0.4238539493486609,7.2476126418447855
smooth,7,only_clusters,0.9477131472993413,6.7420070861468275
smooth,8,only_clusters,0.8139982800195984,7.135426838073975
smooth,9,only_clusters,0.8522457300045616,5.335320149370473
smooth,10,only_clusters,0.553860479420231,6.569163495952863
smooth,11,only_clusters,0.4955556203013869,5.027730746846076
smooth,12,only_clusters,0.5920200679486719,7.224917675831349
smooth,13,only_clusters,0.6380348630306977,5.787429239023684
smooth,14,only_clusters,0.5811303590841082,4.890329687592986
smooth,15,only_clusters,0.642899262307594,6.545104098046506
smooth,16,only_clusters,0.7228427191805923,6.676427908342067
smooth,17,only_clusters,0.8692313600431286,5.489975804494399
smooth,18,only_clusters,0.4429020358088124,4.9485978578957
smooth,19,only_clusters,0.9535209397774219,5.570875943544569
