Setting,seed,init,cp_err,ARI
pwconst2,0,kmeans_K1,0.20000000000000007,0.0
pwconst2,0,kmeans_K2,0.0176,0.9199693343555215
pwconst2,0,kmeans_K3,0.1044,0.5379522503845382
pwconst2,0,kmeans_K4,0.1332,0.5488272061294441
pwconst2,0,best_model,0.0176,0.9199693343555215
pwconst2,1,kmeans_K1,0.20000000000000007,0.0
pwconst2,1,kmeans_K2,0.016,0.8432209038794828
pwconst2,1,kmeans_K3,0.039599999999999996,0.6755400976523309
pwconst2,1,kmeans_K4,0.0572,0.4661376017217029
pwconst2,1,best_model,0.016,0.8432209038794828
pwconst2,2,kmeans_K1,0.20000000000000004,0.0
pwconst2,2,kmeans_K2,0.0968,0.4518577706751898
pwconst2,2,kmeans_K3,0.17679999999999998,0.2751188165205168
pwconst2,2,kmeans_K4,0.22719999999999999,0.18742641864845774
pwconst2,2,best_model,0.0968,0.4518577706751898
pwconst2,3,kmeans_K1,0.2,0.0
pwconst2,3,kmeans_K2,0.0344,0.8432
pwconst2,3,kmeans_K3,0.0352,0.6896551724137931
pwconst2,3,kmeans_K4,0.0784,0.38692318041167767
pwconst2,3,best_model,0.0344,0.8432
pwconst2,4,kmeans_K1,0.2,0.0
pwconst2,4,kmeans_K2,0.0268,0.8432209038794828
pwconst2,4,kmeans_K3,0.0512,0.5844534575805316
pwconst2,4,kmeans_K4,0.2116,0.21127424568965517
pwconst2,4,best_model,0.0268,0.8432209038794828
pwconst2,5,kmeans_K1,0.20000000000000004,0.0
pwconst2,5,kmeans_K2,0.0928,0.5693168198162205
pwconst2,5,kmeans_K3,0.172,0.3389489227464931
pwconst2,5,kmeans_K4,0.2688,0.1622804065423706
pwconst2,5,best_model,0.0928,0.5693168198162205
pwconst2,6,kmeans_K1,0.20000000000000004,0.0
pwconst2,6,kmeans_K2,0.0704,0.5087760199833472
pwconst2,6,kmeans_K3,0.0968,0.37221625972632144
pwconst2,6,kmeans_K4,0.2412,0.12535363060757107
pwconst2,6,best_model,0.0704,0.5087760199833472
pwconst2,7,kmeans_K1,0.2,0.0
pwconst2,7,kmeans_K2,0.04680000000000001,0.8432209038794828
pwconst2,7,kmeans_K3,0.12120000000000003,0.45076850795355394
pwconst2,7,kmeans_K4,0.1544,0.370146039437378
pwconst2,7,best_model,0.04680000000000001,0.8432209038794828
pwconst2,8,kmeans_K1,0.2,0.0
pwconst2,8,kmeans_K2,0.042800000000000005,0.6995067324356753
pwconst2,8,kmeans_K3,0.07800000000000001,0.4181537635851335
pwconst2,8,kmeans_K4,0.154,0.23798303487276154
pwconst2,8,best_model,0.042800000000000005,0.6995067324356753
pwconst2,9,kmeans_K1,0.2,0.0
pwconst2,9,kmeans_K2,0.028000000000000004,0.9199693343555215
pwconst2,9,kmeans_K3,0.12360000000000002,0.3392593586475245
pwconst2,9,kmeans_K4,0.1392,0.3374815014126194
pwconst2,9,best_model,0.028000000000000004,0.9199693343555215
pwconst2,10,kmeans_K1,0.20000000000000007,0.0
pwconst2,10,kmeans_K2,0.027200000000000002,0.9199693343555215
pwconst2,10,kmeans_K3,0.036800000000000006,0.6981182615683386
pwconst2,10,kmeans_K4,0.0512,0.460595859282949
pwconst2,10,best_model,0.027200000000000002,0.9199693343555215
pwconst2,11,kmeans_K1,0.2,0.0
pwconst2,11,kmeans_K2,0.024000000000000004,0.7697076764107863
pwconst2,11,kmeans_K3,0.11560000000000002,0.36338065898740957
pwconst2,11,kmeans_K4,0.07360000000000001,0.34319008487134584
pwconst2,11,best_model,0.024000000000000004,0.7697076764107863
pwconst2,12,kmeans_K1,0.2,0.0
pwconst2,12,kmeans_K2,0.055200000000000006,0.7697690692792163
pwconst2,12,kmeans_K3,0.138,0.3489464501409207
pwconst2,12,kmeans_K4,0.17,0.3404670570024901
pwconst2,12,best_model,0.055200000000000006,0.7697690692792163
pwconst2,13,kmeans_K1,0.2,0.0
pwconst2,13,kmeans_K2,0.0252,0.8432209038794828
pwconst2,13,kmeans_K3,0.0332,0.6288127639605818
pwconst2,13,kmeans_K4,0.054400000000000004,0.43617522373999057
pwconst2,13,best_model,0.0252,0.8432209038794828
pwconst2,14,kmeans_K1,0.20000000000000004,0.0
pwconst2,14,kmeans_K2,0.01,1.0
pwconst2,14,kmeans_K3,0.0424,0.6290117252931323
pwconst2,14,kmeans_K4,0.16839999999999997,0.38354413347685684
pwconst2,14,best_model,0.01,1.0
pwconst2,15,kmeans_K1,0.2,0.0
pwconst2,15,kmeans_K2,0.052000000000000005,0.6996268656716418
pwconst2,15,kmeans_K3,0.08159999999999998,0.4694914121499699
pwconst2,15,kmeans_K4,0.08639999999999999,0.3419165909320408
pwconst2,15,best_model,0.052000000000000005,0.6996268656716418
pwconst2,16,kmeans_K1,0.2,0.0
pwconst2,16,kmeans_K2,0.01,1.0
pwconst2,16,kmeans_K3,0.0376,0.6898630320484913
pwconst2,16,kmeans_K4,0.054000000000000006,0.5916941065788589
pwconst2,16,best_model,0.01,1.0
pwconst2,17,kmeans_K1,0.20000000000000007,0.0
pwconst2,17,kmeans_K2,0.0344,0.7697076764107863
pwconst2,17,kmeans_K3,0.04920000000000001,0.5762836841399651
pwconst2,17,kmeans_K4,0.0796,0.3365442910070731
pwconst2,17,best_model,0.0344,0.7697076764107863
pwconst2,18,kmeans_K1,0.2,0.0
pwconst2,18,kmeans_K2,0.01,1.0
pwconst2,18,kmeans_K3,0.024800000000000003,0.7423384800884215
pwconst2,18,kmeans_K4,0.14800000000000002,0.3853784847160104
pwconst2,18,best_model,0.01,1.0
pwconst2,19,kmeans_K1,0.20000000000000007,0.0
pwconst2,19,kmeans_K2,0.036000000000000004,0.8432
pwconst2,19,kmeans_K3,0.05440000000000001,0.6755400976523309
pwconst2,19,kmeans_K4,0.23520000000000002,0.21244115669132482
pwconst2,19,best_model,0.036000000000000004,0.8432
smooth,0,kmeans_K1,0.2,0.0
smooth,0,kmeans_K2,0.0576,0.9199693343555215
smooth,0,kmeans_K3,0.07919999999999999,0.7768550763461023
smooth,0,kmeans_K4,0.23800000000000004,0.37449610319806503
smooth,0,best_model,0.0576,0.9199693343555215
smooth,1,kmeans_K1,0.20000000000000004,0.0
smooth,1,kmeans_K2,0.064,0.7697690692792163
smooth,1,kmeans_K3,0.0908,0.5210230316014998
smooth,1,kmeans_K4,0.1392,0.4247704261831881
smooth,1,best_model,0.064,0.7697690692792163
smooth,2,kmeans_K1,0.20000000000000007,0.0
smooth,2,kmeans_K2,0.0864,0.6326102169349195
smooth,2,kmeans_K3,0.16,0.31453587842597874
smooth,2,kmeans_K4,0.3012,0.1190492222745943
smooth,2,best_model,0.0864,0.6326102169349195
smooth,3,kmeans_K1,0.2,0.0
smooth,3,kmeans_K2,0.054400000000000004,0.8432
smooth,3,kmeans_K3,0.0604,0.6846762300576484
smooth,3,kmeans_K4,0.084,0.4570774256558785
smooth,3,best_model,0.054400000000000004,0.8432
smooth,4,kmeans_K1,0.20000000000000007,0.0
smooth,4,kmeans_K2,0.07520000000000002,0.7697690692792163
smooth,4,kmeans_K3,0.1448,0.5108535441511457
smooth,4,kmeans_K4,0.2432,0.25405786873676783
smooth,4,best_model,0.07520000000000002,0.7697690692792163
smooth,5,kmeans_K1,0.20000000000000007,0.0
smooth,5,kmeans_K2,0.092,0.6328059950041632
smooth,5,kmeans_K3,0.21480000000000005,0.2834238948145167
smooth,5,kmeans_K4,0.3312,0.09698681732580038
smooth,5,best_model,0.092,0.6328059950041632
smooth,6,kmeans_K1,0.20000000000000007,0.0
smooth,6,kmeans_K2,0.11359999999999999,0.5087760199833472
smooth,6,kmeans_K3,0.13759999999999997,0.39851086664877916
smooth,6,kmeans_K4,0.25920000000000004,0.1593783638320775
smooth,6,best_model,0.11359999999999999,0.5087760199833472
smooth,7,kmeans_K1,0.20000000000000007,0.0
smooth,7,kmeans_K2,0.06680000000000001,0.8432209038794828
smooth,7,kmeans_K3,0.1384,0.43757551349174384
smooth,7,kmeans_K4,0.2296,0.32709525412319085
smooth,7,best_model,0.06680000000000001,0.8432209038794828
smooth,8,kmeans_K1,0.20000000000000004,0.0
smooth,8,kmeans_K2,0.07680000000000002,0.6325122495916803
smooth,8,kmeans_K3,0.1152,0.37221625972632144
smooth,8,kmeans_K4,0.22519999999999998,0.12924071082390953
smooth,8,best_model,0.07680000000000002,0.6325122495916803
smooth,9,kmeans_K1,0.20000000000000004,0.0
smooth,9,kmeans_K2,0.07600000000000001,0.8432209038794828
smooth,9,kmeans_K3,0.16399999999999998,0.43248309566847426
smooth,9,kmeans_K4,0.22,0.3676569431375185
smooth,9,best_model,0.07600000000000001,0.8432209038794828
smooth,10,kmeans_K1,0.20000000000000007,0.0
smooth,10,kmeans_K2,0.055999999999999994,0.9199693343555215
smooth,10,kmeans_K3,0.0656,0.7245164312964326
smooth,10,kmeans_K4,0.07919999999999999,0.49222797927461137
smooth,10,best_model,0.055999999999999994,0.9199693343555215
smooth,11,kmeans_K1,0.20000000000000004,0.0
smooth,11,kmeans_K2,0.08959999999999999,0.6326102169349195
smooth,11,kmeans_K3,0.20960000000000004,0.2746332641168196
smooth,11,kmeans_K4,0.1296,0.3020507121931508
smooth,11,best_model,0.08959999999999999,0.6326102169349195
smooth,12,kmeans_K1,0.20000000000000004,0.0
smooth,12,kmeans_K2,0.08399999999999999,0.7697690692792163
smooth,12,kmeans_K3,0.09960000000000001,0.6286634028569512
smooth,12,kmeans_K4,0.1868,0.28736870455157554
smooth,12,best_model,0.08399999999999999,0.7697690692792163
smooth,13,kmeans_K1,0.20000000000000004,0.0
smooth,13,kmeans_K2,0.05600000000000001,0.8432209038794828
smooth,13,kmeans_K3,0.0632,0.6354801956973393
smooth,13,kmeans_K4,0.08040000000000001,0.5189941504740133
smooth,13,best_model,0.05600000000000001,0.8432209038794828
