Setting,seed,init,cp_err,ARI
smooth,14,kmeans_K1,0.20000000000000004,0.0
smooth,14,kmeans_K2,0.04800000000000001,0.9199693343555215
smooth,14,kmeans_K3,0.0816,0.635919405582703
smooth,14,kmeans_K4,0.2064,0.2874646559849199
smooth,14,best_model,0.04800000000000001,0.9199693343555215
smooth,15,kmeans_K1,0.20000000000000004,0.0
smooth,15,kmeans_K2,0.0836,0.6996268656716418
smooth,15,kmeans_K3,0.09280000000000001,0.4737528856770049
smooth,15,kmeans_K4,0.2016,0.24139436477818452
smooth,15,best_model,0.0836,0.6996268656716418
smooth,16,kmeans_K1,0.20000000000000004,0.0
smooth,16,kmeans_K2,0.04,1.0
smooth,16,kmeans_K3,0.06199999999999999,0.7537688442211056
smooth,16,kmeans_K4,0.072,0.5549949545913219
smooth,16,best_model,0.04,1.0
smooth,17,kmeans_K1,0.2,0.0
smooth,17,kmeans_K2,0.07280000000000002,0.7697076764107863
smooth,17,kmeans_K3,0.08759999999999998,0.5762836841399651
smooth,17,kmeans_K4,0.23839999999999997,0.1979632305985951
smooth,17,best_model,0.07280000000000002,0.7697076764107863
smooth,18,kmeans_K1,0.2,0.0
smooth,18,kmeans_K2,0.04800000000000001,0.9199693343555215
smooth,18,kmeans_K3,0.05840000000000001,0.7093596059113301
smooth,18,kmeans_K4,0.17239999999999994,0.36359353970390307
smooth,18,best_model,0.04800000000000001,0.9199693343555215
smooth,19,kmeans_K1,0.2,0.0
smooth,19,kmeans_K2,0.0584,0.9199693343555215
smooth,19,kmeans_K3,0.1032,0.5841746888941066
smooth,19,kmeans_K4,0.1168,0.3897677549646584
smooth,19,best_model,0.0584,0.9199693343555215
