Setting,seed,init,cp_err,ARI
pwconst2,0,true_change_points,0.01,1.0
pwconst2,0,random_cp_K2,0.044000000000000004,0.7697690692792163
pwconst2,0,best_model,0.01,1.0
pwconst2,1,true_change_points,0.0,1.0
pwconst2,1,random_cp_K2,0.07840000000000001,0.3989229081480004
pwconst2,1,best_model,0.0,1.0
pwconst2,2,true_change_points,0.0904,0.5091683583480315
pwconst2,2,random_cp_K2,0.10400000000000001,0.398282804752238
pwconst2,2,best_model,0.0904,0.5091683583480315
pwconst2,3,true_change_points,0.02,1.0
pwconst2,3,random_cp_K2,0.0632,0.5693168198162205
pwconst2,3,best_model,0.02,1.0
pwconst2,4,true_change_points,0.01,1.0
pwconst2,4,random_cp_K2,0.11919999999999999,0.3021148036253776
pwconst2,4,best_model,0.01,1.0
pwconst2,5,true_change_points,0.08399999999999999,0.6328059950041632
pwconst2,5,random_cp_K2,0.1368,0.3021148036253776
pwconst2,5,best_model,0.08399999999999999,0.6328059950041632
pwconst2,6,true_change_points,0.05600000000000001,0.6328059950041632
pwconst2,6,random_cp_K2,0.0632,0.5690298507462687
pwconst2,6,best_model,0.0632,0.5690298507462687
pwconst2,7,true_change_points,0.02,1.0
pwconst2,7,random_cp_K2,0.08,0.6328059950041632
pwconst2,7,best_model,0.02,1.0
pwconst2,8,true_change_points,0.0268,0.8432209038794828
pwconst2,8,random_cp_K2,0.033600000000000005,0.7697076764107863
pwconst2,8,best_model,0.033600000000000005,0.7697076764107863
pwconst2,9,true_change_points,0.02,1.0
pwconst2,9,random_cp_K2,0.09720000000000001,0.4523682810005322
pwconst2,9,best_model,0.02,1.0
pwconst2,10,true_change_points,0.02,1.0
pwconst2,10,random_cp_K2,0.06,0.6328059950041632
pwconst2,10,best_model,0.02,1.0
pwconst2,11,true_change_points,0.008,0.9199693343555215
pwconst2,11,random_cp_K2,0.07080000000000002,0.4518577706751898
pwconst2,11,best_model,0.008,0.9199693343555215
pwconst2,12,true_change_points,0.055200000000000006,0.7697690692792163
pwconst2,12,random_cp_K2,0.1216,0.5091683583480315
pwconst2,12,best_model,0.055200000000000006,0.7697690692792163
pwconst2,13,true_change_points,0.01,1.0
pwconst2,13,random_cp_K2,0.0252,0.8432209038794828
pwconst2,13,best_model,0.01,1.0
pwconst2,14,true_change_points,0.0176,0.9199693343555215
pwconst2,14,random_cp_K2,0.06799999999999999,0.6328059950041632
pwconst2,14,best_model,0.0176,0.9199693343555215
pwconst2,15,true_change_points,0.044000000000000004,0.7697690692792163
pwconst2,15,random_cp_K2,0.09600000000000002,0.5091683583480315
pwconst2,15,best_model,0.044000000000000004,0.7697690692792163
pwconst2,16,true_change_points,0.01,1.0
pwconst2,16,random_cp_K2,0.04800000000000001,0.6328059950041632
pwconst2,16,best_model,0.01,1.0
pwconst2,17,true_change_points,0.0184,0.9199693343555215
pwconst2,17,random_cp_K2,0.0688,0.5091683583480315
pwconst2,17,best_model,0.0184,0.9199693343555215
pwconst2,18,true_change_points,0.0,1.0
pwconst2,18,random_cp_K2,0.052000000000000005,0.6328059950041632
pwconst2,18,best_model,0.0,1.0
pwconst2,19,true_change_points,0.02,1.0
pwconst2,19,random_cp_K2,0.055200000000000006,0.6996268656716418
pwconst2,19,best_model,0.02,1.0
smooth,0,true_change_points,0.0576,0.9199693343555215
smooth,0,random_cp_K2,0.08040000000000001,0.6996268656716418
smooth,0,best_model,0.0576,0.9199693343555215
smooth,1,true_change_points,0.064,0.7697690692792163
smooth,1,random_cp_K2,0.064,0.7697690692792163
smooth,1,best_model,0.064,0.7697690692792163
smooth,2,true_change_points,0.08040000000000001,0.6996268656716418
smooth,2,random_cp_K2,0.09600000000000002,0.6328059950041632
smooth,2,best_model,0.08040000000000001,0.6996268656716418
smooth,3,true_change_points,0.04,1.0
smooth,3,random_cp_K2,0.054400000000000004,0.8432
smooth,3,best_model,0.04,1.0
smooth,4,true_change_points,0.06680000000000001,0.8432209038794828
smooth,4,random_cp_K2,0.10039999999999999,0.5693168198162205
smooth,4,best_model,0.06680000000000001,0.8432209038794828
smooth,5,true_change_points,0.0836,0.6996268656716418
smooth,5,random_cp_K2,0.11720000000000001,0.4523682810005322
smooth,5,best_model,0.0836,0.6996268656716418
smooth,6,true_change_points,0.11359999999999999,0.5087760199833472
smooth,6,random_cp_K2,0.11359999999999999,0.5087760199833472
smooth,6,best_model,0.11359999999999999,0.5087760199833472
smooth,7,true_change_points,0.05,1.0
smooth,7,random_cp_K2,0.1,0.6328059950041632
smooth,7,best_model,0.05,1.0
smooth,8,true_change_points,0.054400000000000004,0.8432
smooth,8,random_cp_K2,0.06880000000000001,0.6994666666666667
smooth,8,best_model,0.054400000000000004,0.8432
smooth,9,true_change_points,0.07600000000000001,0.8432209038794828
smooth,9,random_cp_K2,0.14479999999999998,0.3989229081480004
smooth,9,best_model,0.07600000000000001,0.8432209038794828
smooth,10,true_change_points,0.05,1.0
smooth,10,random_cp_K2,0.055999999999999994,0.9199693343555215
smooth,10,best_model,0.055999999999999994,0.9199693343555215
smooth,11,true_change_points,0.0836,0.6996268656716418
smooth,11,random_cp_K2,0.098,0.5690298507462687
smooth,11,best_model,0.0836,0.6996268656716418
smooth,12,true_change_points,0.08399999999999999,0.7697690692792163
smooth,12,random_cp_K2,0.168,0.3488372093023256
smooth,12,best_model,0.08399999999999999,0.7697690692792163
smooth,13,true_change_points,0.04,1.0
smooth,13,random_cp_K2,0.07200000000000001,0.6996268656716418
smooth,13,best_model,0.04,1.0
smooth,14,true_change_points,0.0576,0.9199693343555215
smooth,14,random_cp_K2,0.152,0.3488372093023256
smooth,14,best_model,0.0576,0.9199693343555215
smooth,15,true_change_points,0.064,0.7697690692792163
smooth,15,random_cp_K2,0.064,0.7697690692792163
smooth,15,best_model,0.064,0.7697690692792163
smooth,16,true_change_points,0.04,1.0
smooth,16,random_cp_K2,0.08800000000000001,0.6328059950041632
smooth,16,best_model,0.04,1.0
smooth,17,true_change_points,0.05840000000000001,0.9199693343555215
smooth,17,random_cp_K2,0.092,0.6996268656716418
smooth,17,best_model,0.05840000000000001,0.9199693343555215
smooth,18,true_change_points,0.04800000000000001,0.9199693343555215
smooth,18,random_cp_K2,0.04,1.0
smooth,18,best_model,0.04,1.0
smooth,19,true_change_points,0.05,1.0
smooth,19,random_cp_K2,0.1036,0.6996268656716418
smooth,19,best_model,0.05,1.0
